example_input.csv
Day Number,Date,Off-bout Count (DN),Mean Off Duration (DN),Off Dur StDev (DN),Mean Off Temp Drop (DN),Off Drop StDev (DN),Mean Off-Bout Temp (DN),Off-Bout Time Sum (DN),On-bout Count (DN),Mean On Duration (DN),On Dur StDev (DN),Mean On Temp Rise (DN),On Rise StDev (DN),Mean On-Bout Temp (DN),On-Bout Time Sum (DN),Time above 30 (minutes),Time below 26 (minutes),Vertices Dropped (DN),Mean Daytime Egg Temp,Day Egg Temp StDev,Median Daytime Egg Temp,Min Daytime Egg Temp,Max Daytime Egg Temp,Mean Nighttime Egg Temp,Night Egg Temp StDev,Median Nighttime Egg Temp,Min Nighttime Egg Temp,Max Nighttime Egg Temp,Mean Egg Temp (DN),Egg Temp StDev (DN),Median Egg Temp (DN),Min Egg Temp (DN),Max Egg Temp (DN),Mean Air Temp (DN),Air Temp StDev (DN),Min Air Temp (DN),Max Air Temp (DN),
1 (Partial),04/21/2018,25,17.56,13.2,-0.976,0.877,32.235,439.0,29,12.71,10.7,1.234,2.416,32.069,368.5,794.5,18.5,4,32.511,2.275,32.949,18.247,34.783,31.054,0.947,30.672,29.916,32.639,32.101,2.098,32.484,18.247,34.783,25.811,4.266,17.106,30.091,
2 (Full),04/22/2018,46,17.14,14.52,-1.041,1.08,30.834,788.5,52,11.59,8.15,0.924,1.119,30.994,602.5,897.0,0.0,9,31.596,1.602,31.97,27.554,34.255,30.127,1.029,29.765,28.369,32.975,30.923,1.553,30.849,27.554,34.255,19.748,5.036,13.497,27.751,
3 (Full),04/23/2018,49,14.44,12.07,-1.293,1.482,30.767,707.5,56,12.08,7.56,1.106,1.356,31.041,676.5,1255.0,0.0,6,31.123,1.518,31.331,26.231,33.443,30.66,0.358,30.697,29.54,31.484,30.911,1.166,30.798,26.231,33.443,17.342,3.081,12.05,22.106,
4 (Full),04/24/2018,57,12.01,7.58,-1.09,1.362,29.877,684.5,59,11.6,8.01,1.038,1.363,30.145,684.5,711.5,23.5,3,30.416,1.884,30.748,24.388,33.053,29.54,0.986,29.389,27.825,31.765,30.015,1.599,29.966,24.388,33.053,14.127,5.378,6.433,21.294,
5 (Full),04/25/2018,64,10.32,6.89,-0.976,1.447,30.092,660.5,74,9.44,6.42,0.835,1.235,30.347,698.5,834.5,4.5,9,30.555,1.411,30.925,25.428,32.484,29.848,0.642,29.752,28.493,31.103,30.231,1.179,30.243,25.428,32.484,13.094,2.918,8.27,17.011,
6 (Full),04/26/2018,57,11.09,7.31,-1.353,1.507,29.802,632.0,67,10.99,7.31,1.127,1.431,30.081,736.0,695.0,27.0,11,30.242,1.833,30.571,24.171,33.001,29.617,0.86,29.414,26.72,31.612,29.955,1.502,29.916,24.171,33.001,11.557,5.136,4.063,18.461,
7 (Full),04/27/2018,62,10.02,7.52,-1.28,1.603,30.421,621.5,75,9.67,6.74,1.063,1.344,30.588,725.5,780.0,7.5,13,30.865,1.777,31.052,25.016,33.495,30.093,1.172,29.515,28.122,31.996,30.511,1.577,30.495,25.016,33.495,11.675,4.831,4.973,17.938,
8 (Full),04/28/2018,67,9.18,5.08,-1.22,1.518,30.854,615.0,78,9.51,6.16,1.024,1.387,30.918,742.0,1239.5,0.0,10,30.917,1.249,31.255,26.134,32.768,30.863,0.478,30.862,29.59,31.842,30.892,0.975,31.026,26.134,32.768,11.407,2.475,7.569,15.175,
9 (Full),04/29/2018,70,8.92,6.13,-1.107,1.449,30.342,624.5,80,8.99,7.07,0.978,1.289,30.257,719.0,1068.0,3.0,16,29.993,1.287,30.343,25.817,32.458,30.668,0.52,30.596,29.665,32.304,30.302,1.065,30.495,25.817,32.458,11.661,1.444,9.805,14.768,
10 (Full),04/30/2018,84,8.05,5.45,-1.442,1.692,30.749,676.5,92,7.02,4.88,1.293,1.395,30.687,646.0,1098.5,9.5,19,30.078,1.646,30.243,24.484,33.6,31.502,0.771,31.357,29.84,33.626,30.731,1.498,30.976,24.484,33.626,10.037,1.944,7.268,13.473,
--,ALL DATA,581,11.1,8.79,-1.2,1.465,30.547,6449.5,662,9.97,7.19,1.059,1.394,30.636,6599.0,9373.5,93.5,100,30.793,1.799,31.001,18.247,34.783,30.352,1.014,30.469,26.72,33.626,30.596,1.515,30.697,18.247,34.783,14.172,5.698,4.063,30.091,


Individual Bout Stats
Date,Bout Type,Start Time,End Time,Start Data Point,End Data Point,Duration (min),Egg Temp Change,Start Egg Temp,End Egg Temp,Mean Egg Temp,Start Air Temp, End Air Temp, Mean Air Temp
,on,12:33,12:35,3213,3217,2.0,0.1039999999999992,33.027,33.131,33.089,26.134,26.182,26.153,
,off,12:35,12:50,3218,3247,14.5,-0.5179999999999936,33.105,32.587,32.899,26.207,26.549,26.433,
,on,12:50,13:04,3248,3276,14.0,0.8819999999999979,32.587,33.469,32.993,26.524,26.524,26.492,
,off,13:05,13:20,3277,3307,15.0,-1.6780000000000008,33.469,31.791,32.657,26.549,26.573,26.572,
,on,13:20,13:36,3308,3339,15.5,1.626999999999999,31.816,33.443,32.626,26.598,26.769,26.676,
,off,13:36,14:05,3340,3397,28.5,-3.1999999999999993,33.443,30.243,31.846,26.769,27.431,27.117,
,on,14:05,14:37,3398,3461,31.5,3.987000000000002,30.268,34.255,32.98,27.456,27.727,27.615,
,off,14:37,14:49,3462,3485,11.5,-0.9939999999999998,34.255,33.261,33.77,27.727,27.579,27.638,
,on,14:49,14:52,3486,3491,2.5,0.1039999999999992,33.287,33.391,33.33,27.579,27.554,27.558,
,on,14:54,15:02,3496,3511,7.5,0.23499999999999943,33.339,33.574,33.484,27.554,27.53,27.548,
,on,15:04,15:08,3515,3524,4.5,0.1559999999999988,33.574,33.73,33.644,27.579,27.604,27.569,
,off,15:09,15:26,3525,3559,17.0,-1.8109999999999964,33.73,31.919,32.877,27.628,27.456,27.554,
,on,15:26,15:38,3560,3583,11.5,1.2119999999999997,31.919,33.131,32.535,27.456,27.456,27.428,
,off,15:38,15:49,3584,3605,10.5,-0.8269999999999982,33.131,32.304,32.742,27.456,27.284,27.365,
,on,15:49,15:59,3606,3625,9.5,0.9570000000000007,32.304,33.261,32.765,27.284,27.161,27.226,
,off,15:59,16:04,3626,3635,4.5,-0.28600000000000136,33.235,32.949,33.079,27.21,27.407,27.35,
,off,16:06,16:11,3640,3650,5.0,-0.4140000000000015,33.027,32.613,32.794,27.259,27.087,27.159,
,on,16:12,16:19,3651,3665,7.0,0.3359999999999985,32.639,32.975,32.806,27.063,26.867,26.97,
,off,16:19,16:26,3666,3680,7.0,-0.6199999999999974,33.001,32.381,32.705,26.867,26.622,26.753,
,on,16:27,16:36,3681,3699,9.0,0.9580000000000055,32.407,33.365,32.902,26.622,26.573,26.563,
,off,16:36,16:41,3700,3709,4.5,-0.2080000000000055,33.365,33.157,33.245,26.549,26.573,26.585,
,on,16:41,16:49,3710,3726,8.0,0.33800000000000097,33.157,33.495,33.336,26.549,26.426,26.474,
,off,16:50,17:36,3727,3820,46.5,-3.5549999999999997,33.521,29.966,32.419,26.402,25.695,26.007,
,on,17:37,17:59,3821,3865,22.0,3.7659999999999982,29.991,33.757,32.246,25.695,25.501,25.628,
,off,17:59,18:19,3866,3906,20.0,-2.831999999999997,33.757,30.925,32.517,25.525,25.258,25.394,
,on,18:20,18:37,3907,3942,17.5,2.6239999999999988,30.95,33.574,32.479,25.258,25.113,25.176,
,off,18:38,18:49,3943,3965,11.0,-1.5009999999999977,33.574,32.073,32.846,25.137,24.895,25.025,
,on,18:49,18:56,3966,3980,7.0,0.7209999999999965,32.073,32.794,32.435,24.871,24.653,24.737,
,off,18:57,19:09,3981,4005,12.0,-1.9699999999999953,32.794,30.824,31.897,24.653,24.267,24.474,
,on,19:09,19:25,4006,4038,16.0,2.0240000000000045,30.874,32.898,32.008,24.267,23.857,24.087,
,off,19:26,19:41,4039,4069,15.0,-1.6430000000000007,32.924,31.281,32.344,23.833,23.304,23.616,
,on,19:41,20:00,4070,4108,19.0,1.6940000000000026,31.281,32.975,32.366,23.28,22.489,22.941,
,off,20:01,20:46,4109,4200,45.5,-1.9990000000000023,32.975,30.976,31.959,22.465,20.746,21.58,
,on,20:47,21:06,4201,4239,19.0,0.8150000000000013,30.976,31.791,31.434,20.722,20.079,20.399,
,on,21:08,21:13,4244,4253,4.5,0.1280000000000001,31.765,31.893,31.829,19.984,19.841,19.919,
,off,21:13,21:39,4254,4306,26.0,-0.5619999999999976,31.868,31.306,31.673,19.841,19.103,19.453,
,on,21:40,21:50,4307,4328,10.5,0.1529999999999987,31.306,31.459,31.392,19.08,18.842,18.959,
,off,21:51,21:57,4329,4341,6.0,-0.05099999999999838,31.459,31.408,31.437,18.842,18.699,18.763,
,on,21:57,22:01,4342,4349,3.5,0.05099999999999838,31.408,31.459,31.433,18.675,18.58,18.631,
,off,22:01,22:04,4350,4355,2.5,-0.0259999999999998,31.459,31.433,31.442,18.58,18.533,18.549,
,on,22:04,22:12,4356,4372,8.0,0.10200000000000031,31.433,31.535,31.498,18.509,18.366,18.433,
,off,22:13,22:58,4373,4463,45.0,-0.7630000000000017,31.561,30.798,31.105,18.343,17.677,18.002,
,on,22:58,23:02,4464,4472,4.0,0.04999999999999716,30.824,30.874,30.852,17.653,17.605,17.632,
,on,23:03,23:09,4474,4486,6.0,0.07600000000000051,30.874,30.95,30.917,17.582,17.486,17.538,
,off,23:10,23:37,4487,4542,27.5,-0.1769999999999996,30.95,30.773,30.84,17.486,16.963,17.242,
,on,23:38,23:42,4543,4551,4.0,0.10099999999999909,30.773,30.874,30.832,16.963,16.892,16.929,
,off,23:42,23:58,4552,4584,16.0,-0.2029999999999994,30.9,30.697,30.791,16.868,16.63,16.75,
,on,23:59,00:06,4585,4600,7.5,0.15200000000000102,30.697,30.849,30.792,16.606,16.463,16.54,
04/23/2018,off,00:07,00:19,4601,4626,12.5,-0.4299999999999997,30.849,30.419,30.62,16.463,16.249,16.341,
,on,00:20,00:26,4627,4640,6.5,0.2530000000000001,30.419,30.672,30.58,16.249,16.129,16.18,
,on,00:28,00:35,4644,4658,7.0,0.07600000000000051,30.672,30.748,30.712,16.106,16.01,16.052,
,off,00:36,01:03,4659,4714,27.5,-0.22800000000000153,30.748,30.52,30.614,15.986,15.796,15.893,
,on,01:04,01:13,4715,4733,9.0,0.2779999999999987,30.52,30.798,30.668,15.796,15.7,15.742,
,off,01:13,01:23,4734,4754,10.0,-0.2789999999999999,30.824,30.545,30.63,15.7,15.676,15.711,
,on,01:24,01:27,4755,4762,3.5,0.10099999999999909,30.545,30.646,30.596,15.652,15.605,15.629,
,on,01:29,01:38,4766,4784,9.0,0.17800000000000082,30.646,30.824,30.733,15.581,15.485,15.543,
,off,01:39,01:47,4785,4801,8.0,-0.07600000000000051,30.824,30.748,30.788,15.485,15.414,15.436,
,on,01:47,01:52,4802,4811,4.5,0.07600000000000051,30.748,30.824,30.796,15.414,15.366,15.38,
,off,01:52,03:04,4812,4956,72.0,-0.6070000000000029,30.824,30.217,30.599,15.342,15.031,15.182,
,on,03:05,03:26,4957,5000,21.5,0.6070000000000029,30.217,30.824,30.473,15.055,14.96,15.019,
,off,03:27,03:34,5001,5015,7.0,-0.3290000000000006,30.849,30.52,30.648,14.984,14.96,14.97,
,on,03:34,03:47,5016,5041,12.5,0.2779999999999987,30.52,30.798,30.691,14.96,14.888,14.92,
,off,03:47,03:56,5042,5060,9.0,-0.12599999999999767,30.798,30.672,30.757,14.888,14.888,14.897,
,on,03:57,04:03,5061,5073,6.0,0.12599999999999767,30.672,30.798,30.728,14.888,14.864,14.879,
,off,04:03,04:18,5074,5103,14.5,-0.10099999999999909,30.798,30.697,30.71,14.864,14.864,14.853,
,on,04:18,04:45,5104,5158,27.0,0.7109999999999985,30.722,31.433,31.089,14.864,14.768,14.809,
,off,04:46,05:31,5159,5249,45.0,-0.8369999999999997,31.433,30.596,30.912,14.768,14.649,14.718,
